partition,detector,strat_id,strat_name,budget_label,budget_k,detectable_size,clean_pct,mean_out_z,mean_delta_z,ci95_delta_z,mean_edits,mean_turnover,content_jsd
val,synthid,STRAT_09_UNIFORM_CONTROL,Uniform Allocation Control,High,10,10,50.0,2.0075692093313124,-0.45651945039324127,0.563761409320434,10.4,13.635407343618722,0.07883120288651618
val,synthid,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,Low,3,10,20.0,2.6745288668455798,0.21044020712102593,0.5025783903964208,6,7.562034855499812,0.04551247831789035
val,synthid,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,Medium,5,10,10.0,2.410618087545307,-0.053470572179247,0.49911396224788895,7.8,10.504520216802693,0.06098745780039412
val,synthid,STRAT_10_SHUFFLED_CONTROL,Shuffled Ranking Control,High,10,10,20.0,2.1911152142500243,-0.2729734454745295,0.49133424833798367,10.4,13.740670501513458,0.0780141966589849
dev,kirchenbauer,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),Low,3,56,17.857142857142858,2.2996964285714285,-0.2378035714285714,0.05030016149892743,5.25,4.839396688833832,0.03858822487646564
dev,kirchenbauer,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),Medium,5,56,30.357142857142854,2.096732142857143,-0.4407678571428571,0.07174021780322767,7.214285714285714,7.035111494111827,0.0537827589182786
dev,kirchenbauer,STRAT_01_SELF_INFO_ONLY,Self-Information Only (SIRA Comparator),High,10,56,42.857142857142854,1.8814464285714285,-0.6560535714285713,0.11985474687569268,11.321428571428571,11.177117223932349,0.0845520271734949
dev,kirchenbauer,STRAT_02_SPATIAL_ONLY,Spatial Position Only,Low,3,56,19.642857142857142,2.2770535714285716,-0.2604464285714285,0.05089320950864574,5.25,4.871514019903429,0.03818260988388324
dev,kirchenbauer,STRAT_02_SPATIAL_ONLY,Spatial Position Only,Medium,5,56,28.57142857142857,2.093625,-0.44387499999999996,0.06421530989569388,7.214285714285714,7.102497926538118,0.05361740997141555
dev,kirchenbauer,STRAT_02_SPATIAL_ONLY,Spatial Position Only,High,10,56,44.642857142857146,1.8572321428571428,-0.6802678571428571,0.12026422176154092,11.321428571428571,11.061428813659319,0.08382034773886457
dev,kirchenbauer,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,Low,3,56,17.857142857142858,2.2996964285714285,-0.2378035714285714,0.05030016149892743,5.25,4.839396688833832,0.038588224876465634
dev,kirchenbauer,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,Medium,5,56,30.357142857142854,2.096732142857143,-0.4407678571428571,0.07174021780322767,7.214285714285714,7.035111494111827,0.053782758918278606
dev,kirchenbauer,STRAT_03_CONTEXT_ONLY,Local Contextual Overlap Only,High,10,56,42.857142857142854,1.8814464285714285,-0.6560535714285713,0.11985474687569268,11.321428571428571,11.177117223932349,0.0845520271734949
dev,kirchenbauer,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,Low,3,56,17.857142857142858,2.2996964285714285,-0.2378035714285714,0.05030016149892743,5.25,4.839396688833832,0.038588224876465634
dev,kirchenbauer,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,Medium,5,56,30.357142857142854,2.096732142857143,-0.4407678571428571,0.07174021780322767,7.214285714285714,7.035111494111827,0.0537827589182786
dev,kirchenbauer,STRAT_04_SELF_INFO_SPATIAL,Self-Information + Spatial,High,10,56,42.857142857142854,1.8814464285714285,-0.6560535714285713,0.11985474687569268,11.321428571428571,11.177117223932349,0.0845520271734949
dev,kirchenbauer,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,Low,3,56,17.857142857142858,2.2996964285714285,-0.2378035714285714,0.05030016149892743,5.25,4.839396688833832,0.038588224876465634
dev,kirchenbauer,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,Medium,5,56,30.357142857142854,2.096732142857143,-0.4407678571428571,0.07174021780322767,7.214285714285714,7.035111494111827,0.053782758918278606
dev,kirchenbauer,STRAT_05_SELF_INFO_CONTEXT,Self-Information + Context,High,10,56,42.857142857142854,1.8814464285714285,-0.6560535714285713,0.11985474687569268,11.321428571428571,11.177117223932349,0.0845520271734949
dev,kirchenbauer,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,Low,3,56,17.857142857142858,2.2996964285714285,-0.2378035714285714,0.05030016149892743,5.25,4.839396688833832,0.038588224876465634
dev,kirchenbauer,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,Medium,5,56,30.357142857142854,2.096732142857143,-0.4407678571428571,0.07174021780322767,7.214285714285714,7.035111494111827,0.0537827589182786
dev,kirchenbauer,STRAT_06_SPATIAL_CONTEXT,Spatial + Context,High,10,56,42.857142857142854,1.8814464285714285,-0.6560535714285713,0.11985474687569268,11.321428571428571,11.177117223932349,0.0845520271734949
