document_id,token_index,sentence_index,paragraph_index,token_text,lemma,pos,domain_class,character_offset,normalized_position,mean_delta_z,median_delta_z,std_delta_z,mean_abs_delta_z,clean_transition_rate,standard_error,ci95_low,ci95_high,n_trials,status
cli_input,20,0,0,duties,duty,NNS,general,69,0.03669724770642202,-0.12695024023291338,-0.09196059779166599,0.05939570732070343,0.12695024023291338,1.0,0.026562567828154953,-0.1790128731760971,-0.07488760728972967,5,valid
cli_input,39,0,0,apprehending,apprehend,VBG,general,132,0.07155963302752294,-0.35185408961161885,-0.3669319448304502,0.06492927553666061,0.35185408961161885,1.0,0.029037254765957452,-0.4087671089528955,-0.2949410702703422,5,valid
cli_input,63,1,0,endeavors,endeavor,NNS,general,223,0.11559633027522936,0.02253383589236462,-0.018388092713361504,0.0589695588100294,0.04592309181913423,1.0,0.02637198842047947,-0.02915526141177514,0.07422293319650437,5,valid
cli_input,67,1,0,regularly,regularly,RB,general,237,0.12293577981651377,-0.11414859275104701,-0.12872531827569378,0.021874065686217546,0.11414859275104701,1.0,0.009782379563735602,-0.1333220566959688,-0.09497512880612523,5,valid
cli_input,108,2,0,extensive,extensive,JJ,general,362,0.1981651376146789,-0.21970593462034776,-0.21304475065360395,0.1514866445466788,0.21970593462034776,1.0,0.06774688697794432,-0.3524898330971186,-0.08692203614357691,5,valid
cli_input,110,2,0,types,type,NNS,general,372,0.2018348623853211,-0.09637090924898369,-0.10028896287450362,0.07105511067752879,0.09637090924898369,1.0,0.0317768115247451,-0.15865345983748408,-0.0340883586604833,5,valid
cli_input,132,3,0,act,act,VB,general,437,0.24220183486238533,-0.13625831814851072,-0.07943231416534768,0.11424067319308788,0.13625831814851072,1.0,0.05108998221101649,-0.23639468328210303,-0.03612195301491841,5,valid
cli_input,138,3,0,mission,mission,NN,general,452,0.25321100917431194,-0.01270101785291895,-0.005079065314372855,0.026618771387192264,0.021317524660506272,1.0,0.011904276459857656,-0.03603339971423995,0.010631364008402054,5,valid
cli_input,170,3,0,act,act,VB,general,560,0.3119266055045872,-0.162158764659092,-0.19952980845699275,0.13843620522856415,0.17951544692315893,1.0,0.061910553087636246,-0.28350344871085903,-0.04081408060732494,5,valid
cli_input,176,3,0,diversity,diversity,NN,general,571,0.3229357798165138,-0.23508718428946768,-0.2634147099559956,0.03878906201465974,0.23508718428946768,1.0,0.017346995889646822,-0.26908729623317545,-0.2010870723457599,5,valid
cli_input,180,3,0,endeavors,endeavor,NNS,general,584,0.3302752293577982,-0.08405967892280733,-0.08783209456341146,0.08966542564445008,0.09641873199203901,1.0,0.04009959739448865,-0.16265488981600507,-0.005464468029609579,5,valid
cli_input,249,4,0,fathom,fathom,VB,general,802,0.45688073394495415,-0.15907174066492927,-0.15227889405782902,0.0667555489242073,0.15907174066492927,1.0,0.0298539890539681,-0.21758555921070674,-0.1005579221191518,5,valid
cli_input,385,8,0,systems,system,NNS,general,1222,0.7064220183486238,-0.15082513493915836,-0.14786077836952494,0.045133862062250826,0.15082513493915836,1.0,0.020184476731658338,-0.1903867093332087,-0.11126356054510803,5,valid
cli_input,426,8,0,field,field,NN,general,1332,0.781651376146789,-0.03213203698431366,-0.040860133321436676,0.04583107818042211,0.051087236981295095,1.0,0.020496281258706242,-0.07230474825137789,0.00804067428275057,5,valid
