document_id,token_index,sentence_index,token_text,lemma,pos,domain_class,target_abs_delta_z,target_delta_z,pos_norm,pos_norm_sq,pos_norm_cu,sent_relative_pos,is_sent_initial,is_sent_final,dist_sent_start,dist_sent_end,is_noun,is_verb,is_adj,is_adv,is_cs,is_bio,is_eli5,is_fin,window_count,token_len,syllable_est,clean_rate,n_trials,self_information,candidate_entropy
cli_input,14,0,employed,employ,VBN,general,0.16821668973707848,-0.16821668973707848,0.022950819672131147,0.000526740123622682,1.2089117591340242e-05,0.32051282051282054,0.0,0.0,25.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,1.0,5.0,12.836740757757024,3.584962500721156
cli_input,14,0,structure,structure,NN,biomedical,0.1007220108573688,-0.046892596499241976,0.026615969581749048,0.0007084098367765906,1.8855014667057545e-05,0.3333333333333333,0.0,0.0,26.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,5.0,11.836740757757024,3.7548875021634687
cli_input,16,0,detailed,detail,VBD,general,0.2876862872735976,-0.2876862872735976,0.053691275167785234,0.0028827530291428314,0.00015477868612847416,0.34615384615384615,0.0,0.0,27.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,1.0,5.0,12.836740757757024,3.584962500721156
cli_input,16,0,gloomy,gloomy,JJ,biomedical,0.24187613774914518,-0.24187613774914518,0.023323615160349854,0.0005439910241481016,1.2687837297914905e-05,0.358974358974359,0.0,0.0,28.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,5.0,12.836740757757024,3.169925001442312
cli_input,16,0,propose,propose,VB,general,0.1278275270170623,-0.1278275270170623,0.052980132450331126,0.0028068944344546293,0.00014870963891150353,0.3717948717948718,0.0,0.0,29.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,1.0,5.0,12.836740757757024,3.3923174227787602
cli_input,18,0,probing,probe,VBG,general,0.14366272475763875,-0.07438440677808238,0.0481283422459893,0.0023163373273470786,0.00011148147564772036,0.38461538461538464,0.0,0.0,30.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,0.0,5.0,12.836740757757024,3.3923174227787602
cli_input,18,0,regularly,regularly,RB,biomedical,0.14593153358891658,0.04197847145947755,0.038876889848812095,0.0015114125643166689,5.875901977904976e-05,0.3974358974358974,0.0,0.0,31.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,1.0,5.0,11.836740757757024,3.7548875021634687
cli_input,18,0,group,group,NN,general,0.10559271084697146,-0.055196631998360335,0.03578528827037773,0.0012805868565940342,4.582616981847438e-05,0.41025641025641024,0.0,0.0,32.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,5.0,12.836740757757024,2.9068905956085187
cli_input,20,0,duties,duty,NNS,general,0.12695024023291338,-0.12695024023291338,0.03669724770642202,0.0013466879892264961,4.941974272390812e-05,0.4230769230769231,0.0,0.0,33.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,1.0,5.0,12.836740757757024,3.169925001442312
cli_input,20,0,problems,problem,NNS,general,0.2876302369615614,-0.2876302369615614,0.03076923076923077,0.0009467455621301776,2.9130632680928542e-05,0.4358974358974359,0.0,0.0,34.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,5.0,10.136301039615931,3.584962500721156
cli_input,20,0,exercised,exercise,VBN,finance,0.25071305652669673,-0.25071305652669673,0.0322061191626409,0.0010372341115182254,3.3405285395111924e-05,0.44871794871794873,0.0,0.0,35.0,43.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,4.0,1.0,5.0,12.836740757757024,3.7548875021634687
cli_input,20,0,employed,employ,VBN,biomedical,0.10297059541701614,-0.040519668304088444,0.03802281368821293,0.0014457343607685524,5.497088824215027e-05,0.46153846153846156,0.0,0.0,36.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,4.0,0.0,5.0,12.836740757757024,3.584962500721156
cli_input,22,0,diverse,diverse,JJ,general,0.1805290322800615,-0.13858886638056153,0.03691275167785235,0.0013625512364307917,5.02955154387205e-05,0.47435897435897434,0.0,0.0,37.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,5.0,12.251778257035868,3.3923174227787602
cli_input,22,0,heterogeneous,heterogeneous,JJ,general,0.06794374627607976,-0.06794374627607976,0.05092592592592592,0.002593449931412894,0.00013207383909973072,0.48717948717948717,0.0,0.0,38.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,7.0,1.0,5.0,12.836740757757024,4.285402218862249
cli_input,23,0,connotation,connotation,NN,general,0.19519301418115312,-0.1788202573177484,0.07371794871794872,0.005434335963182118,0.0004006080998499638,0.5,0.0,0.0,39.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,5.0,1.0,5.0,12.836740757757024,4.044394119358453
cli_input,24,0,sector,sector,NN,general,0.10418627419871189,-0.10418627419871189,0.06417112299465241,0.004117933026394808,0.00026425238672052244,0.5128205128205128,0.0,0.0,40.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,0.0,5.0,12.836740757757024,3.169925001442312
cli_input,24,0,distinct,distinct,JJ,biomedical,0.09217417566997306,-0.07022517193906633,0.040336134453781515,0.0016270037426735402,6.562704172128566e-05,0.5256410256410257,0.0,0.0,41.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,1.0,5.0,12.836740757757024,3.584962500721156
cli_input,24,0,large,large,JJ,finance,0.08854204029679318,-0.021810275252022483,0.05687203791469194,0.0032344286965701576,0.00018394855146370564,0.5384615384615384,0.0,0.0,42.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,5.0,12.251778257035868,2.9068905956085187
