partition,config_id,category,desc,is_matched_budget,total_evals,detectable_size,clean_count,clean_pct,borderline_pct,strong_pct,mean_base_z,mean_out_z,mean_delta_z,median_delta_z,ci95_delta_z,mean_edits,mean_turnover,mean_domain_turnover,mean_jsd,mean_confidence
val,EXP_04_TYPING_NOISE_ONLY,Individual_Layer,QWERTY Human Typing Noise Only (Rate = 0.02),False,80,42,9,21.428571428571427,61.904761904761905,16.666666666666664,2.533624777720525,2.410193699357197,-0.12343107836332783,-0.08092095421283063,0.09514060755822677,3.238095238095238,3.962114325269827,0.0,0.017709894610721793,0.0
val,EXP_05_FUNCTION_WORDS_ONLY,Individual_Layer,Function-Word Substitution Only (Prob = 1.0),False,80,42,0,0.0,80.95238095238095,19.047619047619047,2.533624777720525,2.533624777720525,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
val,EXP_06_SYNTAX_ONLY,Individual_Layer,Syntax Restructuring Only (Prob = 1.0),False,80,42,0,0.0,80.95238095238095,19.047619047619047,2.533624777720525,2.533624777720525,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
val,EXP_07_CADENCE_ONLY,Individual_Layer,Sentence Cadence & Rhythm Variation Only (Prob = 1.0),False,80,42,0,0.0,80.95238095238095,19.047619047619047,2.533624777720525,2.533624777720525,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
val,EXP_08_LEX_TERM_FUNC,Combination,Lexical + Terminology + Function Words,False,80,42,35,83.33333333333334,16.666666666666664,0.0,2.533624777720525,0.7620440233494994,-1.7715807543710256,-1.4617679258371643,0.347442140176496,17.904761904761905,18.325553976685164,0.0,0.13445301424403205,0.7081821838068224
val,EXP_09_LEX_TYPING,Combination,"Lexical + Terminology + Typing Noise (Prob = 0.75, Rate = 0.015)",False,80,42,30,71.42857142857143,26.190476190476193,2.380952380952381,2.533624777720525,1.295869967401067,-1.237754810319458,-0.9681765940796332,0.2880627538451848,16.571428571428573,18.07513922473589,0.0,0.1180695598742156,0.7188663479088467
val,EXP_10_FULL_COMBINED,Combination,Full Multi-Layer Transformation (All Layers Active),False,80,42,34,80.95238095238095,16.666666666666664,2.380952380952381,2.533624777720525,0.7272822207533003,-1.8063425569672247,-1.520575592651416,0.3507553259574115,21.142857142857142,22.300938808183243,0.0,0.15050789543455867,0.7081821838068224
val,EXP_11_FROZEN_SPATIAL_HEATMAP,Matched_Budget_Allocation,Spatial Heatmap Allocation (Frozen Dev Heatmap 9e13d2bc04c8),True,80,42,21,50.0,38.095238095238095,11.904761904761903,2.533624777720525,1.885077689815988,-0.6485470879045371,-0.7277227645417063,0.13131920597470892,7.428571428571429,8.342232856824674,0.0,0.058030780086372635,0.735416150332336
val,EXP_12_FROZEN_COMPOSITE_MODEL,Matched_Budget_Allocation,Composite Ridge Model Allocation (Frozen Model df4a861dbf93),True,80,42,19,45.23809523809524,42.857142857142854,11.904761904761903,2.533624777720525,1.856019669192842,-0.6776051085276832,-0.771017886986248,0.14395463294569888,7.428571428571429,8.314547364022902,0.0,0.058460296930869654,0.7376339003969309
val,EXP_13_UNIFORM_ALLOCATION_CTRL,Matched_Budget_Allocation,Uniform Random Allocation (Matched Budget Control),True,80,42,18,42.857142857142854,40.476190476190474,16.666666666666664,2.533624777720525,1.9442679445267095,-0.5893568331938155,-0.6056959711759994,0.16127658309381443,7.428571428571429,8.344855692984842,0.0,0.058812053919652614,0.7502277910488352
val,EXP_14_SHUFFLED_SPATIAL_CTRL,Matched_Budget_Allocation,Shuffled Spatial Coordinate Control (Matched Budget Control),True,80,42,16,38.095238095238095,47.61904761904761,14.285714285714285,2.533624777720525,2.0133728255452867,-0.5202519521752381,-0.5411832670933969,0.14383082285735105,7.428571428571429,8.186478028602904,0.0,0.05854110407397456,0.7384035760376286
val,DOSE_01_PROB_0.10,Dose_Response,Dose-Response: Lexical Prob = 0.10,False,80,42,7,16.666666666666664,66.66666666666666,16.666666666666664,2.533624777720525,2.247584982834116,-0.28603979488640885,-0.22713567769908483,0.12574752833678882,4.190476190476191,4.02910414907296,0.0,0.03240222866354286,0.7983377277765163
val,DOSE_02_PROB_0.25,Dose_Response,Dose-Response: Lexical Prob = 0.25,False,80,42,17,40.476190476190474,47.61904761904761,11.904761904761903,2.533624777720525,2.0168204292226894,-0.5168043484978355,-0.4988411784155735,0.1335927170751824,5.904761904761905,5.918135340310407,0.0,0.04558760319275901,0.7389573263843141
val,DOSE_03_PROB_0.50,Dose_Response,Dose-Response: Lexical Prob = 0.50,False,80,42,16,38.095238095238095,57.14285714285714,4.761904761904762,2.533624777720525,1.7554396758674187,-0.7781851018531065,-0.6984380352099048,0.1951335596732361,9.357142857142858,10.04744039901162,0.0,0.07068076603409913,0.7241234569527772
val,DOSE_04_PROB_0.75,Dose_Response,Dose-Response: Lexical Prob = 0.75,False,80,42,31,73.80952380952381,23.809523809523807,2.380952380952381,2.533624777720525,1.298445359710539,-1.2351794180099862,-1.035909321443403,0.2888050427467832,14.119047619047619,15.030767816928613,0.0,0.10508604459836204,0.7188663479088467
val,DOSE_05_PROB_1.00,Dose_Response,Dose-Response: Lexical Prob = 1.00,False,80,42,35,83.33333333333334,16.666666666666664,0.0,2.533624777720525,0.7620440233494994,-1.7715807543710256,-1.4617679258371643,0.347442140176496,17.904761904761905,18.325553976685164,0.0,0.13445301424403205,0.7081821838068224
